id,first_name,last_name,bats,throws,weight,height,debut,final_game,birth_year,birth_month,birth_day,birth_city,birth_state,birth_country
18,Wally,Goldsmith,NULL,NULL,146,67,1871-05-04,1875-06-14,1848,10,NULL,Baltimore,MD,USA
19,Al,Spalding,R,R,170,73,1871-05-05,1878-08-31,1850,9,2,Byron,IL,USA
20,Andy,Leonard,R,R,168,67,1871-05-05,1880-07-06,1846,6,1,NULL,Antrim,Ireland
21,Asa,Brainard,NULL,R,150,68,1871-05-05,1874-10-14,1841,NULL,NULL,Albany,NY,USA
22,Cal,McVey,R,R,170,69,1871-05-05,1879-09-30,1849,8,30,Montrose,IA,USA
23,Charlie,Gould,R,R,172,72,1871-05-05,1877-07-12,1847,8,21,Cincinnati,OH,USA
24,Dave,Birdsall,NULL,NULL,126,69,1871-05-05,1873-05-17,1838,7,16,New York,NY,USA
25,Davy,Force,R,R,130,64,1871-05-05,1886-08-20,1849,7,27,New York,NY,USA
26,Doug,Allison,R,R,160,70,1871-05-05,1883-07-13,1846,7,12,Philadelphia,PA,USA
27,Everett,Mills,NULL,NULL,174,73,1871-05-05,1876-10-17,1845,1,20,Newark,NJ,USA
28,Frank,Norton,NULL,NULL,NULL,NULL,1871-05-05,1871-05-05,1845,6,9,Port Jefferson,NY,USA
29,Fred,Cone,NULL,NULL,171,69,1871-05-05,1871-09-09,1848,5,NULL,Rockford,IL,USA
30,Fred,Waterman,NULL,NULL,148,67,1871-05-05,1875-09-23,1845,NULL,NULL,New York,NY,USA
31,George,Hall,L,L,142,67,1871-05-05,1877-10-06,1849,3,29,Stepney,London,United Kingdom
32,George,Wright,R,R,150,69,1871-05-05,1882-10-02,1847,1,28,New York,NY,USA
33,Harry,Berthrong,NULL,NULL,140,66,1871-05-05,1871-07-04,1844,1,1,Mumford,NY,USA
34,Harry,Schafer,R,R,143,69,1871-05-05,1878-08-31,1846,8,14,Philadelphia,PA,USA
35,Harry,Wright,R,R,157,69,1871-05-05,1877-09-29,1835,1,10,Sheffield,NULL,United Kingdom
36,Henry,Burroughs,NULL,NULL,147,68,1871-05-05,1872-05-07,1845,2,3,Newark,NJ,USA
37,Ross,Barnes,R,R,145,68,1871-05-05,1881-09-21,1850,5,8,Mount Morris,NY,USA
38,Bob,Addy,L,L,160,68,1871-05-06,1877-10-06,1842,2,NULL,Port Hope,ON,CAN
39,Cap,Anson,R,R,227,72,1871-05-06,1897-10-03,1852,4,17,Marshalltown,IA,USA
40,Cherokee,Fisher,R,R,164,69,1871-05-06,1878-07-09,1844,11,NULL,Philadelphia,PA,USA
41,Denny,Mack,R,R,164,67,1871-05-06,1883-09-27,1850,3,14,Mauch Chunk,PA,USA
42,Gat,Stires,L,R,180,68,1871-05-06,1871-09-15,1849,10,13,Hunterdon County,NJ,USA
43,George,Bird,R,R,150,69,1871-05-06,1871-09-15,1850,6,23,Stillman Valley,IL,USA
44,Pony,Sager,NULL,NULL,140,66,1871-05-06,1871-05-30,1848,8,12,Holmesburg,PA,USA
45,Ralph,Ham,NULL,NULL,158,68,1871-05-06,1871-09-15,1849,3,NULL,Troy,NY,USA
46,Scott,Hastings,R,R,161,68,1871-05-06,1877-09-01,1847,8,10,Hillsboro,OH,USA
47,Charlie,Hodes,NULL,R,175,71,1871-05-08,1874-07-13,1848,NULL,NULL,New York,NY,USA
48,Ed,Duffy,NULL,R,152,67,1871-05-08,1871-10-30,1844,NULL,NULL,NULL,NULL,Ireland
49,Ed,Pinkham,L,L,142,67,1871-05-08,1871-09-18,1846,8,NULL,Brooklyn,NY,USA
50,George,Zettlein,R,R,162,69,1871-05-08,1876-09-16,1844,7,12,Williamsburg,NY,USA
51,Jimmy,Wood,NULL,R,150,68,1871-05-08,1873-11-01,1843,12,1,Brooklyn,NY,USA
52,Joe,Simmons,NULL,NULL,166,69,1871-05-08,1875-06-14,1845,6,13,New York,NY,USA
53,Marshall,King,NULL,R,176,69,1871-05-08,1872-06-17,1849,12,NULL,Lansingburgh,NY,USA
54,Michael,McAtee,NULL,R,160,73,1871-05-08,1872-07-23,1845,3,NULL,Troy,NY,USA
55,Tom,Foley,NULL,NULL,157,69,1871-05-08,1871-10-30,1847,NULL,NULL,Chicago,IL,USA
56,Bill,Craver,R,R,160,69,1871-05-09,1877-10-05,1844,6,NULL,Troy,NY,USA
57,Clipper,Flynn,NULL,R,140,67,1871-05-09,1872-05-24,1849,4,29,Lansingburgh,NY,USA
58,Edward,Beavens,NULL,NULL,138,68,1871-05-09,1872-08-22,1848,NULL,NULL,Troy,NY,USA
59,John,McMullin,R,L,160,69,1871-05-09,1875-10-25,1849,4,1,Philadelphia,PA,USA
60,Lip,Pike,L,L,158,68,1871-05-09,1887-07-28,1845,5,25,New York,NY,USA
61,Mike,McGeary,R,R,138,67,1871-05-09,1882-06-26,1850,11,16,Philadelphia,PA,USA
62,Sam,Jackson,R,R,160,65,1871-05-09,1872-05-07,1849,3,24,Ripon,North Yorkshire,United Kingdom
63,Steve,Bellan,NULL,NULL,154,68,1871-05-09,1873-06-09,1849,10,1,La Habana,La Habana,Cuba
64,Steve,King,NULL,NULL,175,69,1871-05-09,1872-07-23,1844,NULL,NULL,Lansingburgh,NY,USA
65,Tom,York,L,L,165,69,1871-05-09,1885-10-01,1850,7,13,Brooklyn,NY,USA
66,John,Glenn,R,R,169,68,1871-05-13,1877-09-28,1850,1,NULL,Rochester,NY,USA
67,Pete,Donnelly,NULL,NULL,NULL,NULL,1871-05-13,1871-07-08,NULL,NULL,NULL,NULL,NULL,NULL
68,Fred,Treacey,NULL,R,145,69,1871-05-16,1876-10-17,1847,NULL,NULL,Brooklyn,NY,USA
69,Bob,Ferguson,B,R,149,69,1871-05-18,1884-07-01,1845,1,31,Brooklyn,NY,USA
70,Charlie,Mills,NULL,NULL,165,72,1871-05-18,1872-09-28,1844,9,NULL,Brooklyn,NY,USA
71,Charlie,Smith,NULL,NULL,150,70,1871-05-18,1871-08-01,1840,12,11,Brooklyn,NY,USA
72,Dave,Eggler,R,R,165,69,1871-05-18,1885-06-09,1849,4,30,Brooklyn,NY,USA
73,Dickey,Pearce,R,R,161,63,1871-05-18,1877-10-06,1836,2,29,Brooklyn,NY,USA
74,Joe,Start,L,L,165,69,1871-05-18,1886-07-09,1842,10,14,New York,NY,USA
75,John,Hatfield,NULL,NULL,165,70,1871-05-18,1876-05-05,1847,7,20,Hoboken,NJ,USA
76,Ned,Connor,NULL,NULL,156,69,1871-05-18,1871-10-23,1850,NULL,NULL,NULL,NY,USA
77,Rynie,Wolters,NULL,R,165,72,1871-05-18,1873-04-28,1844,3,17,Nieuweschans,Groningen,Netherlands
78,Tom,Patterson,NULL,L,143,67,1871-05-18,1875-09-06,1845,NULL,NULL,New York,NY,USA
79,Charlie,Sweasy,R,R,172,69,1871-05-19,1878-09-30,1847,11,2,Newark,NJ,USA
80,Al,Reach,L,L,155,66,1871-05-20,1875-05-21,1840,5,25,London,London,United Kingdom
81,Count,Sensenderfer,NULL,NULL,170,69,1871-05-20,1874-10-21,1847,12,28,Philadelphia,PA,USA
82,Dick,McBride,NULL,R,150,69,1871-05-20,1876-07-13,1847,6,14,Philadelphia,PA,USA
83,Frank,Barrows,NULL,NULL,NULL,NULL,1871-05-20,1871-10-07,1844,10,22,Hudson,OH,USA
84,George,Bechtel,NULL,NULL,165,71,1871-05-20,1876-08-19,1848,9,2,Philadelphia,PA,USA
85,George,Heubel,NULL,NULL,178,71,1871-05-20,1876-08-17,1849,6,20,NULL,NULL,Germany
86,John,Radcliff,NULL,NULL,140,66,1871-05-20,1875-05-24,1848,6,29,Philadelphia,PA,USA
87,Levi,Meyerle,R,R,177,73,1871-05-20,1884-04-26,1849,7,NULL,Philadelphia,PA,USA
88,Ned,Cuthbert,R,R,140,66,1871-05-20,1884-09-04,1845,6,20,Philadelphia,PA,USA
89,Wes,Fisler,R,R,137,66,1871-05-20,1876-09-16,1843,7,6,Camden,NJ,USA
90,William,Johnson,NULL,NULL,NULL,66,1871-05-20,1871-09-12,1848,6,1,Parma,OH,USA
91,Al,Barker,NULL,NULL,162,72,1871-06-01,1871-06-01,1839,1,18,Lost Creek,IN,USA
92,Dick,Higham,L,R,171,68,1871-06-01,1880-05-25,1851,7,24,Ipswich,Suffolk,United Kingdom
93,Dickie,Flowers,NULL,NULL,NULL,NULL,1871-06-03,1872-06-12,1850,NULL,NULL,Philadelphia,PA,USA
94,Fergy,Malone,R,L,156,68,1871-06-03,1884-04-17,1844,8,NULL,NULL,Tyrone,Ireland
95,Charles,Fulmer,R,R,158,72,1871-06-05,1884-08-16,1851,2,13,Philadelphia,PA,USA
96,Warren,White,NULL,NULL,170,70,1871-06-17,1884-06-27,1844,NULL,NULL,Milton,NY,USA
97,Charles,Bierman,NULL,NULL,180,72,1871-06-21,1871-06-21,1845,NULL,NULL,Hoboken,NJ,USA
98,Bill,Stearns,NULL,R,NULL,NULL,1871-06-26,1875-06-12,1853,3,20,Washington,DC,USA
99,George,Ewell,NULL,NULL,160,72,1871-06-26,1871-06-26,1850,10,29,Philadelphia,PA,USA
100,Robert,Armstrong,NULL,NULL,160,74,1871-06-26,1871-08-29,1850,7,4,Baltimore,MD,USA
101,Nealy,Phelps,NULL,NULL,NULL,NULL,1871-07-01,1876-08-10,1840,11,19,New York,NY,USA
102,Bill,Barrett,NULL,NULL,NULL,NULL,1871-07-08,1873-10-18,NULL,NULL,NULL,Baltimore,MD,USA
103,Harry,Deane,NULL,NULL,150,67,1871-07-12,1874-10-14,1846,5,6,Trenton,NJ,USA
104,Henry,Kohler,NULL,NULL,NULL,NULL,1871-07-12,1874-09-09,1852,5,5,Baltimore,MD,USA
105,Jimmy,Hallinan,L,L,172,69,1871-07-26,1878-08-22,1849,5,27,NULL,NULL,Ireland
106,Paddy,Quinn,NULL,NULL,148,68,1871-07-26,1877-06-21,1849,8,NULL,Chicago,IL,USA
107,Tommy,Beals,R,NULL,144,65,1871-07-27,1880-09-29,1850,8,NULL,New York,NY,USA
108,Joe,Battin,R,R,169,70,1871-08-11,1890-05-28,1853,11,11,West Bradford,PA,USA
109,Joe,Quest,R,R,150,66,1871-08-30,1886-07-13,1852,11,16,New Castle,PA,USA
110,Tom,Berry,NULL,NULL,140,66,1871-09-02,1871-09-02,1842,12,31,Chester,PA,USA
111,Frank,Fleet,NULL,NULL,NULL,NULL,1871-10-18,1875-10-09,1848,NULL,NULL,New York,NY,USA
112,Tom,Pratt,NULL,R,150,67,1871-10-18,1871-10-18,1844,1,26,Chelsea,MA,USA
113,Frank,Abercrombie,NULL,NULL,NULL,NULL,1871-10-21,1871-10-21,1850,1,2,Fort Towson,OK,USA
114,Mike,Brannock,NULL,NULL,162,68,1871-10-21,1875-08-28,1851,10,25,Douglas,MA,USA
115,Nate,Berkenstock,NULL,NULL,NULL,NULL,1871-10-30,1871-10-30,1832,9,17,Philadelphia,PA,USA
116,Bob,Reach,NULL,NULL,155,65,1872-04-18,1873-10-23,1843,8,28,Brooklyn,NY,USA
117,Dick,Hurley,L,NULL,160,67,1872-04-18,1872-04-23,1847,NULL,NULL,Honesdale,PA,USA
118,Bill,Yeatman,NULL,NULL,NULL,NULL,1872-04-20,1872-04-20,1838,3,10,Alexandria,VA,USA
119,Holly,Hollingshead,NULL,NULL,NULL,NULL,1872-04-20,1875-06-09,1853,1,17,Washington,DC,USA
120,Jacob,Doyle,NULL,NULL,NULL,NULL,1872-04-20,1872-05-25,1855,11,26,Leesburg,VA,USA
121,Paul,Hines,R,R,173,69,1872-04-20,1891-07-03,1855,3,1,NULL,VA,USA
122,Sy,Studley,NULL,NULL,180,67,1872-04-20,1872-05-08,1841,5,NULL,Byron,NY,USA
123,Bill,Boyd,NULL,NULL,250,NULL,1872-04-22,1875-10-09,1852,12,22,New York,NY,USA
124,Candy,Cummings,R,R,120,69,1872-04-22,1877-08-18,1848,10,18,Ware,MA,USA
125,Nat,Hicks,R,R,186,73,1872-04-22,1877-06-05,1845,4,19,Hempstead,NY,USA
126,Oscar,Bielaski,R,R,170,70,1872-04-24,1876-08-21,1847,3,21,Washington,DC,USA
127,Billy,Arnold,NULL,NULL,NULL,NULL,1872-04-26,1872-05-02,1851,3,2,Middletown,CT,USA
128,Cy,Bentley,NULL,NULL,NULL,NULL,1872-04-26,1872-08-09,1850,11,23,East Haven,CT,USA
129,Eddie,Booth,NULL,NULL,NULL,NULL,1872-04-26,1876-10-17,NULL,NULL,NULL,Brooklyn,NY,USA
130,Frank,Buttery,NULL,NULL,NULL,NULL,1872-04-26,1872-07-27,1851,5,13,Silvermine,CT,USA
131,Frank,McCarton,NULL,NULL,NULL,NULL,1872-04-26,1872-08-05,1854,10,6,New York,NY,USA
132,Jim,O'Rourke,R,R,185,68,1872-04-26,22/09/1904,1850,9,1,Bridgeport,CT,USA
133,Jim,Tipper,NULL,NULL,148,65,1872-04-26,1875-10-28,1849,6,18,Middletown,CT,USA
134,John,Clapp,R,R,194,67,1872-04-26,1883-09-28,1851,7,15,Ithaca,NY,USA
135,Phonney,Martin,NULL,NULL,148,67,1872-04-26,1873-10-21,1845,8,4,New York,NY,USA
136,Tim,Murnane,L,R,172,69,1872-04-26,1884-10-19,1851,6,4,Naugatuck,CT,USA
137,Count,Gedney,NULL,NULL,140,69,1872-04-27,1875-10-29,1849,5,6,New York,NY,USA
138,Dennis,Coughlin,NULL,NULL,NULL,NULL,1872-04-27,1872-06-26,1844,1,NULL,NULL,NY,USA
139,Ham,Allen,NULL,NULL,NULL,64,1872-04-27,1872-08-09,1846,4,20,Augusta,ME,USA
140,Fraley,Rogers,NULL,NULL,184,68,1872-04-30,1873-07-16,1850,NULL,NULL,Brooklyn,NY,USA
141,Val,Robinson,NULL,NULL,NULL,NULL,1872-05-01,1872-05-24,1848,8,31,Washington,DC,USA
142,George,Fields,NULL,NULL,179,65,1872-05-02,1872-08-09,1852,7,26,Waterbury,CT,USA
143,Herman,Dehlman,NULL,NULL,NULL,NULL,1872-05-02,1877-09-08,1852,NULL,NULL,Brooklyn,NY,USA
144,Jack,Burdock,R,R,158,69,1872-05-02,1891-07-23,1852,4,NULL,Brooklyn,NY,USA
145,Jack,McDonald,NULL,NULL,172,71,1872-05-02,1872-08-14,1844,NULL,NULL,Brooklyn,NY,USA
146,Jack,Remsen,R,R,189,71,1872-05-02,1884-10-15,1850,4,NULL,Brooklyn,NY,USA
147,Jim,Britt,NULL,NULL,NULL,66,1872-05-02,1873-11-01,NULL,NULL,NULL,NULL,NULL,NULL
148,John,Kenney,NULL,NULL,NULL,NULL,1872-05-02,1872-05-20,1844,NULL,NULL,Brooklyn,NY,USA
149,Tom,Barlow,NULL,NULL,NULL,NULL,1872-05-02,1875-07-30,1852,NULL,NULL,NULL,NY,USA
150,Al,Martin,NULL,NULL,NULL,NULL,1872-05-07,1875-09-25,1847,9,26,Van Vorst,NJ,USA
151,Andy,Allison,NULL,NULL,150,70,1872-05-07,1872-10-21,1848,NULL,NULL,New York,NY,USA
152,David,Lenz,NULL,NULL,NULL,NULL,1872-05-07,1872-05-21,1851,1,1,NULL,NULL,Germany
153,Dick,Hunt,NULL,NULL,145,69,1872-05-07,1872-07-09,1847,NULL,NULL,NULL,NY,USA
154,Jim,Snyder,NULL,NULL,130,67,1872-05-07,1872-10-05,1847,9,15,Brooklyn,NY,USA
155,John,Galvin,NULL,NULL,178,67,1872-05-07,1872-05-07,1842,8,NULL,NULL,NY,USA
156,Marty,Swandell,L,L,146,70,1872-05-07,1873-08-07,1841,7,NULL,NULL,Baden-Wurttemburg,Germany
157,Jim,Holdsworth,R,R,195,72,1872-05-14,1884-06-09,1850,7,14,New York,NY,USA
158,Jim,Clinton,R,R,174,68,1872-05-18,1886-07-15,1850,8,10,New York,NY,USA
159,Josh,Snyder,NULL,NULL,NULL,NULL,1872-05-18,1872-07-09,1844,3,NULL,Brooklyn,NY,USA
160,Jim,Hall,NULL,NULL,NULL,NULL,1872-05-20,1874-05-15,NULL,NULL,NULL,NULL,NULL,NULL
161,Bill,Allison,NULL,NULL,NULL,NULL,1872-05-21,1872-07-04,1850,7,16,New York,NY,USA
162,NULL,Spencer,NULL,NULL,NULL,NULL,1872-06-03,1872-06-03,NULL,NULL,NULL,NULL,NULL,NULL
163,Candy,Nelson,L,R,145,66,1872-06-11,1890-08-25,1849,3,14,Portland,ME,USA
164,Al,Thake,NULL,NULL,NULL,72,1872-06-13,1872-08-28,1849,9,21,Wymondham,Norfolk,United Kingdom
165,Martin,Malone,NULL,NULL,NULL,NULL,1872-06-20,1872-09-13,NULL,NULL,NULL,NULL,NULL,NULL
166,William,Bestick,NULL,NULL,NULL,NULL,1872-06-20,1872-07-09,NULL,NULL,NULL,New York,NY,USA
167,George,Fletcher,NULL,NULL,NULL,NULL,1872-06-21,1872-06-22,1845,4,21,Brooklyn,NY,USA
168,Joe,Miller,NULL,NULL,169,70,1872-06-26,1875-07-28,1850,7,24,NULL,NULL,Germany
169,Nat,Jewett,NULL,NULL,137,69,1872-07-04,1872-07-06,1844,12,25,New York,NY,USA
170,NULL,O'Rourke,NULL,NULL,NULL,NULL,1872-07-09,1872-07-09,NULL,NULL,NULL,NULL,NULL,NULL
171,Herb,Worth,NULL,NULL,NULL,NULL,1872-07-29,1872-07-29,1847,5,2,NULL,NULL,NULL
172,Oliver,Brown,R,R,160,72,1872-08-01,1875-08-26,1849,5,3,Brooklyn,NY,USA
173,Martin,Mullen,NULL,NULL,NULL,NULL,1872-08-17,1872-08-17,1852,8,22,Cleveland,OH,USA
174,Herm,Doscher,R,R,182,70,1872-09-05,1882-08-04,1852,12,20,New York,NY,USA
175,James,Cavanagh,NULL,NULL,NULL,NULL,1872-09-11,1872-09-19,1850,NULL,NULL,NULL,NULL,United Kingdom
176,Denny,Clare,NULL,NULL,NULL,NULL,1872-09-14,1872-09-16,1853,1,NULL,Brooklyn,NY,USA
177,John,Barrett,NULL,NULL,NULL,NULL,1872-09-18,1872-10-31,NULL,NULL,NULL,Brooklyn,NY,USA
178,NULL,Higby,NULL,NULL,NULL,NULL,1872-09-18,1872-09-18,NULL,NULL,NULL,NULL,NULL,NULL
179,Charlie,Lowe,NULL,NULL,NULL,NULL,1872-09-24,1872-10-31,NULL,NULL,NULL,Baltimore,MD,USA
180,Bill,French,NULL,NULL,NULL,NULL,1873-04-14,1873-06-30,1849,NULL,NULL,Baltimore,MD,USA
181,Bill,Smith,NULL,NULL,NULL,NULL,1873-04-14,1873-07-11,NULL,NULL,NULL,Baltimore,MD,USA
182,Frederick,Ehlen,NULL,NULL,NULL,NULL,1873-04-14,1873-04-14,1851,9,12,Baltimore,MD,USA
183,Joe,Kernan,NULL,NULL,NULL,NULL,1873-04-14,1873-04-15,NULL,NULL,NULL,Baltimore,MD,USA
184,John,Donnelly,NULL,NULL,132,66,1873-04-14,1874-10-30,1850,11,15,Philadelphia,PA,USA
185,John,Smith,NULL,NULL,NULL,NULL,1873-04-14,1875-05-21,NULL,NULL,NULL,Baltimore,MD,USA
186,Lou,Say,R,R,145,67,1873-04-14,1884-10-19,1854,2,4,Baltimore,MD,USA
187,NULL,McDoolan,NULL,NULL,NULL,NULL,1873-04-14,1873-04-14,NULL,NULL,NULL,NULL,NULL,NULL
188,Red,Woodhead,NULL,NULL,160,66,1873-04-15,1879-09-10,1851,7,9,Chelsea,MA,USA
189,Jim,Devlin,R,R,175,71,1873-04-21,1877-10-06,1849,6,6,Philadelphia,PA,USA
190,Jack,Manning,R,R,158,68,1873-04-23,1886-10-14,1853,12,20,Braintree,MA,USA
191,Ben,Laughlin,NULL,NULL,NULL,NULL,1873-04-28,1873-08-07,NULL,NULL,NULL,NULL,NULL,NULL
192,Favel,Wordsworth,NULL,NULL,NULL,NULL,1873-04-28,1873-08-07,1850,4,NULL,New York,NY,USA
193,Henry,Austin,NULL,NULL,NULL,NULL,1873-04-28,1873-08-07,1844,10,NULL,NULL,NY,USA
194,Hugh,Campbell,NULL,NULL,NULL,NULL,1873-04-28,1873-07-23,1846,NULL,NULL,NULL,NULL,Ireland
195,John,Farrow,L,R,NULL,NULL,1873-04-28,1884-06-14,1853,11,8,Verplanck,NY,USA
196,Michael,Campbell,NULL,NULL,NULL,NULL,1873-04-28,1873-07-23,1850,8,1,NULL,NULL,Ireland
197,Al,Nevin,NULL,NULL,NULL,NULL,1873-05-06,1873-07-23,1850,10,3,Allegheny City,PA,USA
198,Ed,Stratton,NULL,NULL,NULL,NULL,1873-05-14,1873-07-11,1854,NULL,NULL,Baltimore,MD,USA
199,Levin,Jones,NULL,NULL,NULL,NULL,1873-05-14,1874-10-14,1847,7,4,Baltimore,MD,USA
200,Marty,Simpson,NULL,NULL,NULL,NULL,1873-05-14,1873-07-11,NULL,NULL,NULL,Baltimore,MD,USA
201,Tommy,Johns,NULL,NULL,170,71,1873-05-14,1873-05-14,1851,9,7,Baltimore,MD,USA
202,Fred,Crane,NULL,NULL,135,69,1873-05-26,1875-06-23,1840,11,4,Saybrook,CT,USA
203,Pop,Snyder,R,R,184,71,1873-06-16,1891-07-04,1854,10,6,Washington,DC,USA
204,John,Sheppard,NULL,NULL,NULL,NULL,1873-06-27,1873-07-11,NULL,NULL,NULL,Baltimore,MD,USA
205,Mike,Hooper,NULL,NULL,165,66,1873-06-27,1873-07-11,1850,2,7,Baltimore,MD,USA
206,George,Popplein,NULL,NULL,NULL,NULL,1873-07-11,1873-07-11,1840,8,NULL,Baltimore,MD,USA
207,Henry,Kessler,R,R,144,70,1873-08-04,1877-06-16,1851,7,27,Brooklyn,NY,USA
208,Len,Lovett,R,R,170,72,1873-08-04,1875-05-19,1852,7,17,Lancaster County,PA,USA
209,Johnny,Ryan,NULL,NULL,150,67,1873-08-19,1877-07-12,1853,10,NULL,Philadelphia,PA,USA
210,John,Greason,NULL,NULL,NULL,NULL,1873-08-27,1873-09-06,1851,7,29,Washington,DC,USA
211,Joe,Gerhardt,R,R,160,72,1873-09-01,1891-04-29,1855,2,14,Washington,DC,USA
212,Howard,Wall,NULL,NULL,NULL,NULL,1873-09-13,1873-09-13,1854,12,NULL,Washington,DC,USA
213,Ed,Atkinson,NULL,NULL,NULL,NULL,1873-10-22,1873-10-23,1851,NULL,NULL,Baltimore,MD,USA
214,Jack,Chapman,NULL,R,170,71,1874-05-05,1876-08-08,1843,5,8,Brooklyn,NY,USA
215,Tommy,Bond,R,R,160,67,1874-05-05,1884-08-11,1856,4,2,Granard,NULL,Ireland
216,Billy,Barnie,NULL,R,157,67,1874-05-07,1886-06-28,1853,1,26,New York,NY,USA
217,Bobby,Clack,R,R,153,69,1874-05-13,1876-10-09,1850,6,13,NULL,NULL,United Kingdom
218,Jake,Knodell,NULL,NULL,148,67,1874-05-15,1878-08-17,1852,7,26,Brooklyn,NY,USA
219,Billy,West,NULL,NULL,NULL,NULL,1874-05-22,1876-09-09,1853,8,15,Williamsburg,NY,USA
220,John,Peters,R,R,180,67,1874-05-23,1884-06-11,1850,4,8,New Orleans,LA,USA
221,Orator,Shafer,L,R,165,69,1874-05-23,1890-09-13,1851,10,4,Philadelphia,PA,USA
222,Dan,Collins,NULL,NULL,NULL,NULL,1874-06-08,1876-08-19,1853,9,27,New Orleans,LA,USA
223,NULL,McGovern,NULL,NULL,NULL,NULL,1874-06-15,1874-06-15,NULL,NULL,NULL,NULL,NULL,NULL
224,Terry,Connell,NULL,NULL,NULL,NULL,1874-06-20,1874-06-20,1855,6,17,Philadelphia,PA,USA
225,Steve,Brady,NULL,NULL,165,69,1874-07-23,1886-10-05,1851,7,14,Worcester,MA,USA
226,Robert,Brown,NULL,NULL,NULL,NULL,1874-07-29,1874-08-31,NULL,NULL,NULL,NULL,NULL,NULL
227,Mike,Ledwith,NULL,NULL,NULL,NULL,1874-08-19,1874-08-19,NULL,NULL,NULL,Brooklyn,NY,USA
228,Hugh,Reid,NULL,NULL,NULL,NULL,1874-08-26,1874-08-26,1852,5,10,Cleveland,OH,USA
229,Frederick,Boardman,NULL,NULL,NULL,NULL,1874-08-29,1874-08-29,1851,2,18,St. Joseph,MO,USA
230,Henry,Gilroy,NULL,NULL,NULL,NULL,1874-09-07,1875-09-03,1852,NULL,NULL,Smyrna,DE,USA
231,NULL,Quinlan,NULL,NULL,NULL,NULL,1874-09-07,1874-09-07,NULL,NULL,NULL,NULL,NULL,NULL
232,John,Carl,NULL,NULL,NULL,NULL,1874-09-09,1874-09-09,1854,5,28,Baltimore,MD,USA
233,Z. H.,Taylor,NULL,NULL,NULL,NULL,1874-09-10,1874-10-14,1850,2,21,Baltimore,MD,USA
234,Pat,McGee,NULL,NULL,NULL,NULL,1874-09-24,1875-09-17,NULL,NULL,NULL,NULL,NULL,NULL
235,NULL,Wood,NULL,NULL,NULL,NULL,1874-09-30,1874-09-30,NULL,NULL,NULL,NULL,NULL,NULL
236,Charlie,Snow,NULL,NULL,NULL,NULL,1874-10-01,1874-10-01,1849,8,3,Lowell,MA,USA
237,Bill,Smiley,NULL,NULL,140,68,1874-10-13,1882-09-30,1856,NULL,NULL,Baltimore,MD,USA
238,Henry,Reville,NULL,NULL,NULL,NULL,1874-10-14,1874-10-14,NULL,NULL,NULL,Baltimore,MD,USA
239,Billy,Geer,NULL,R,160,66,1874-10-15,1885-05-10,NULL,NULL,NULL,New York,NY,USA
240,Fancy,O'Neil,NULL,NULL,NULL,NULL,1874-10-23,1874-10-23,1853,NULL,NULL,Hudson,NY,USA
241,Tom,Miller,NULL,NULL,136,66,1874-10-24,1875-10-29,1850,3,NULL,Philadelphia,PA,USA
242,Jack,Farrell,NULL,NULL,180,NULL,1874-10-27,1882-05-03,1856,1,2,Hartford,CT,USA
243,Harry,Luff,NULL,NULL,175,71,1875-04-19,1884-07-05,1852,9,14,Philadelphia,PA,USA
